Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Original)	Opportunity (Original)	Predicted Error Rate (Original)
13	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_CIRCLE	1	(UNSHADED-AREA QUESTION1)	1996-02-01 00:01:22	1996-02-01 00:01:34	1996-02-01 00:01:35	1996-02-01 00:01:35	13	.	13	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	1	0.5943
14	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_CIRCLE	1	(SHADED-AREA QUESTION1)	1996-02-01 00:01:35	1996-02-01 00:02:04	1996-02-01 00:02:05	1996-02-01 00:02:05	30	.	30	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	2	0.5943
15	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	1	(SQUARE-BASE QUESTION1)	1996-02-01 00:02:45	1996-02-01 00:02:45	1996-02-01 00:02:46	1996-02-01 00:02:46	1	.	1	incorrect	1	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	1	0.7132
16	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	2	(SQUARE-BASE QUESTION1)	1996-02-01 00:06:01	1996-02-01 00:06:01	1996-02-01 00:06:02	1996-02-01 00:06:02	1	.	1	incorrect	1	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	3	0.6647
17	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	1	(SQUARE-AREA QUESTION1)	1996-02-01 00:02:46	1996-02-01 00:02:58	1996-02-01 00:02:59	1996-02-01 00:02:59	13	.	13	incorrect	1	0	1	.	ALT:PARALLELOGRAM-AREA	1	0.2850
18	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	2	(SQUARE-AREA QUESTION1)	1996-02-01 00:06:02	1996-02-01 00:06:11	1996-02-01 00:06:12	1996-02-01 00:06:12	10	.	10	incorrect	1	0	1	.	ALT:PARALLELOGRAM-AREA	11	0.2630
19	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	1	(CIRCLE-AREA QUESTION1)	1996-02-01 00:02:59	1996-02-01 00:03:05	1996-02-01 00:03:05	1996-02-01 00:03:05	6	6	.	correct	0	0	1	.	ALT:CIRCLE-AREA	4	0.6289
20	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	2	(CIRCLE-AREA QUESTION1)	1996-02-01 00:06:12	1996-02-01 00:06:16	1996-02-01 00:06:17	1996-02-01 00:06:17	5	.	5	incorrect	1	0	1	.	ALT:CIRCLE-AREA	8	0.5277
21	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	1	(UNSHADED-AREA QUESTION1)	1996-02-01 00:03:05	1996-02-01 00:03:15	1996-02-01 00:03:16	1996-02-01 00:03:16	11	.	11	incorrect	1	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.6895
22	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	2	(UNSHADED-AREA QUESTION1)	1996-02-01 00:06:17	1996-02-01 00:06:27	1996-02-01 00:06:28	1996-02-01 00:06:28	11	.	11	incorrect	1	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	4	0.6389
23	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	1	(SHADED-AREA QUESTION1)	1996-02-01 00:03:16	1996-02-01 00:03:30	1996-02-01 00:03:31	1996-02-01 00:03:31	15	.	15	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	3	0.5943
24	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_SQUARE	2	(SHADED-AREA QUESTION1)	1996-02-01 00:06:28	1996-02-01 00:06:43	1996-02-01 00:06:44	1996-02-01 00:06:44	16	.	16	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	10	0.5943
25	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SQUARE-AREA QUESTION1)	1996-02-01 00:04:56	1996-02-01 00:04:56	1996-02-01 00:04:57	1996-02-01 00:04:57	1	.	1	incorrect	1	0	1	.	ALT:PARALLELOGRAM-AREA	8	0.2695
26	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(POG-AREA QUESTION1)	1996-02-01 00:04:57	1996-02-01 00:05:04	1996-02-01 00:05:05	1996-02-01 00:05:05	8	.	8	incorrect	1	0	1	.	ALT:CIRCLE-AREA	5	0.6043
27	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SCRAP-METAL-AREA QUESTION1)	1996-02-01 00:05:05	1996-02-01 00:05:12	1996-02-01 00:05:13	1996-02-01 00:05:13	8	.	8	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	7	0.5943
28	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(POG-AREA QUESTION2)	1996-02-01 00:05:13	1996-02-01 00:05:18	1996-02-01 00:05:18	1996-02-01 00:05:18	5	5	.	correct	0	0	1	.	ALT:CIRCLE-AREA	6	0.5791
29	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SQUARE-AREA QUESTION2)	1996-02-01 00:05:18	1996-02-01 00:05:24	1996-02-01 00:05:24	1996-02-01 00:05:24	6	6	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	9	0.2673
30	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SQUARE-AREA QUESTION3)	1996-02-01 00:05:24	1996-02-01 00:05:33	1996-02-01 00:05:33	1996-02-01 00:05:33	9	9	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	10	0.2652
31	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(POG-AREA QUESTION3)	1996-02-01 00:05:33	1996-02-01 00:05:43	1996-02-01 00:05:44	1996-02-01 00:05:44	11	.	11	incorrect	1	0	1	.	ALT:CIRCLE-AREA	7	0.5535
32	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SCRAP-METAL-AREA QUESTION2)	1996-02-01 00:05:44	1996-02-01 00:05:48	1996-02-01 00:05:49	1996-02-01 00:05:49	5	.	5	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	8	0.5943
33	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	POGS	1	(SCRAP-METAL-AREA QUESTION3)	1996-02-01 00:05:49	1996-02-01 00:05:53	1996-02-01 00:05:53	1996-02-01 00:05:53	4	4	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	9	0.5943
34	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	RECTANGLE_ABCD	1	(AREA QUESTION1)	1996-02-01 00:00:13	1996-02-01 00:00:13	1996-02-01 00:00:13	1996-02-01 00:00:13	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	1	0.0266
35	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	RECTANGLE_ABCD	1	(HEIGHT QUESTION2)	1996-02-01 00:00:13	1996-02-01 00:00:27	1996-02-01 00:00:27	1996-02-01 00:00:27	14	14	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	1	0.0653
36	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	RECTANGLE_ABCD	1	(BASE QUESTION3)	1996-02-01 00:00:27	1996-02-01 00:00:44	1996-02-01 00:00:44	1996-02-01 00:00:44	17	17	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	2	0.0472
37	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION1)	1996-02-01 00:01:34	1996-02-01 00:01:46	1996-02-01 00:01:46	1996-02-01 00:01:46	12	12	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	5	0.0255
38	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION2)	1996-02-01 00:01:46	1996-02-01 00:02:02	1996-02-01 00:02:02	1996-02-01 00:02:02	16	16	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	6	0.0252
39	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION3)	1996-02-01 00:02:02	1996-02-01 00:02:17	1996-02-01 00:02:17	1996-02-01 00:02:17	15	15	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	7	0.0250
40	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION1)	1996-02-01 00:01:02	1996-02-01 00:01:02	1996-02-01 00:01:02	1996-02-01 00:01:02	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	2	0.0263
41	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION2)	1996-02-01 00:01:02	1996-02-01 00:01:19	1996-02-01 00:01:19	1996-02-01 00:01:19	17	17	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	3	0.0260
42	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION3)	1996-02-01 00:01:19	1996-02-01 00:01:34	1996-02-01 00:01:34	1996-02-01 00:01:34	15	15	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	4	0.0258
43	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION1)	1996-02-01 00:02:17	1996-02-01 00:02:31	1996-02-01 00:02:31	1996-02-01 00:02:31	14	14	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	1	0.0913
44	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION2)	1996-02-01 00:02:31	1996-02-01 00:03:10	1996-02-01 00:03:10	1996-02-01 00:03:10	39	39	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	2	0.0913
45	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION3)	1996-02-01 00:03:10	1996-02-01 00:03:40	1996-02-01 00:03:40	1996-02-01 00:03:40	30	30	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	3	0.0913
46	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PARALLELOGRAM_ABDE	1	(AREA QUESTION1)	1996-02-01 00:04:00	1996-02-01 00:04:00	1996-02-01 00:04:00	1996-02-01 00:04:00	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	8	0.0247
47	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PARALLELOGRAM_ABDE	1	(HEIGHT QUESTION2)	1996-02-01 00:04:00	1996-02-01 00:04:07	1996-02-01 00:04:07	1996-02-01 00:04:07	7	7	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	3	0.0339
48	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PARALLELOGRAM_ABDE	1	(BASE QUESTION3)	1996-02-01 00:04:07	1996-02-01 00:04:17	1996-02-01 00:04:17	1996-02-01 00:04:17	10	10	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	4	0.0242
49	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	SQUARE_ABCD	1	(AREA QUESTION1)	1996-02-01 00:04:31	1996-02-01 00:04:35	1996-02-01 00:04:35	1996-02-01 00:04:35	4	4	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	9	0.0244
50	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	SQUARE_ABCD	1	(HEIGHT QUESTION2)	1996-02-01 00:04:28	1996-02-01 00:04:28	1996-02-01 00:04:28	1996-02-01 00:04:28	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	5	0.0173
51	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	SQUARE_ABCD	1	(BASE QUESTION3)	1996-02-01 00:04:28	1996-02-01 00:04:31	1996-02-01 00:04:31	1996-02-01 00:04:31	3	3	.	correct	0	0	1	.	ALT:PARALLELOGRAM-SIDE	6	0.0123
52	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION1)	1996-02-01 00:04:50	1996-02-01 00:04:57	1996-02-01 00:04:58	1996-02-01 00:04:58	8	.	8	incorrect	1	0	1	.	ALT:PARALLELOGRAM-AREA	13	0.0234
53	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION2)	1996-02-01 00:04:59	1996-02-01 00:05:08	1996-02-01 00:05:08	1996-02-01 00:05:08	9	9	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	14	0.0231
54	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION3)	1996-02-01 00:05:08	1996-02-01 00:05:17	1996-02-01 00:05:17	1996-02-01 00:05:17	9	9	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	15	0.0229
55	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION1)	1996-02-01 00:04:43	1996-02-01 00:04:43	1996-02-01 00:04:43	1996-02-01 00:04:43	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	10	0.0242
56	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION2)	1996-02-01 00:04:43	1996-02-01 00:04:46	1996-02-01 00:04:46	1996-02-01 00:04:46	3	3	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	11	0.0239
57	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION3)	1996-02-01 00:04:46	1996-02-01 00:04:50	1996-02-01 00:04:50	1996-02-01 00:04:50	4	4	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	12	0.0236
58	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION1)	1996-02-01 00:04:58	1996-02-01 00:04:59	1996-02-01 00:04:59	1996-02-01 00:04:59	1	1	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	4	0.0913
59	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION2)	1996-02-01 00:05:28	1996-02-01 00:05:43	1996-02-01 00:05:43	1996-02-01 00:05:43	15	15	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	6	0.0913
60	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION3)	1996-02-01 00:05:17	1996-02-01 00:05:28	1996-02-01 00:05:28	1996-02-01 00:05:28	11	11	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	5	0.0913
61	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	1	(LONGER-BASE QUESTION2)	1996-02-01 00:05:51	1996-02-01 00:06:20	1996-02-01 00:06:21	1996-02-01 00:06:21	30	.	30	incorrect	1	0	1	.	ALT:TRAPEZOID-BASE	1	0.2694
62	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	2	(LONGER-BASE QUESTION2)	1996-02-01 00:09:32	1996-02-01 00:09:57	1996-02-01 00:09:58	1996-02-01 00:11:20	52	.	52	incorrect	1	0	2	.	ALT:TRAPEZOID-BASE	3	0.1878
63	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	1	(AREA QUESTION1)	1996-02-01 00:05:50	1996-02-01 00:05:50	1996-02-01 00:05:51	1996-02-01 00:05:51	1	.	1	incorrect	1	0	1	.	ALT:TRAPEZOID-AREA	1	0.3216
64	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	2	(AREA QUESTION1)	1996-02-01 00:09:32	1996-02-01 00:09:32	1996-02-01 00:09:32	1996-02-01 00:10:54	30	30	.	correct	0	0	2	.	ALT:TRAPEZOID-AREA	3	0.1924
65	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	1	(HEIGHT QUESTION3)	1996-02-01 00:06:21	1996-02-01 00:06:55	1996-02-01 00:06:55	1996-02-01 00:06:55	34	34	.	correct	0	0	1	.	ALT:TRAPEZOID-HEIGHT	1	0.3305
66	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_ABCD	2	(HEIGHT QUESTION3)	1996-02-01 00:09:58	1996-02-01 00:10:24	1996-02-01 00:10:24	1996-02-01 00:11:49	55	55	.	correct	1	0	2	.	ALT:TRAPEZOID-HEIGHT	3	0.2328
67	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_AREA	1	(AREA QUESTION1)	1996-02-01 00:07:52	1996-02-01 00:07:52	1996-02-01 00:07:53	1996-02-01 00:07:53	1	.	1	incorrect	1	0	1	.	ALT:TRAPEZOID-AREA	2	0.2515
68	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_AREA	2	(AREA QUESTION1)	1996-02-01 00:12:46	1996-02-01 00:12:46	1996-02-01 00:12:46	1996-02-01 00:12:46	0	0	.	correct	0	0	1	.	ALT:TRAPEZOID-AREA	4	0.1445
69	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_HEIGHT	1	(HEIGHT QUESTION3)	1996-02-01 00:08:14	1996-02-01 00:08:14	1996-02-01 00:08:15	1996-02-01 00:08:15	1	.	1	incorrect	1	0	1	.	ALT:TRAPEZOID-HEIGHT	2	0.2791
70	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_HEIGHT	2	(HEIGHT QUESTION3)	1996-02-01 00:13:07	1996-02-01 00:13:07	1996-02-01 00:13:07	1996-02-01 00:13:07	0	0	.	correct	0	0	1	.	ALT:TRAPEZOID-HEIGHT	4	0.1922
71	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_HEIGHT	3	(HEIGHT QUESTION3)	1996-02-01 00:13:54	1996-02-01 00:13:54	1996-02-01 00:13:54	1996-02-01 00:13:54	0	0	.	correct	0	0	1	.	ALT:TRAPEZOID-HEIGHT	5	0.1572
72	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_BASE	1	(LONGER-BASE QUESTION2)	1996-02-01 00:09:09	1996-02-01 00:09:09	1996-02-01 00:09:09	1996-02-01 00:09:09	0	0	.	correct	0	0	1	.	ALT:TRAPEZOID-BASE	2	0.2260
73	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRAPEZOID_BASE	2	(LONGER-BASE QUESTION2)	1996-02-01 00:13:36	1996-02-01 00:13:36	1996-02-01 00:13:36	1996-02-01 00:13:36	0	0	.	correct	0	0	1	.	ALT:TRAPEZOID-BASE	4	0.1547
74	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRIANGLE_ABC	1	(AREA QUESTION1)	1996-02-01 00:14:18	1996-02-01 00:14:18	1996-02-01 00:14:18	1996-02-01 00:14:18	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	1	0.0938
75	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRIANGLE_ABC	1	(HEIGHT QUESTION2)	1996-02-01 00:14:18	1996-02-01 00:14:25	1996-02-01 00:14:25	1996-02-01 00:14:25	7	7	.	correct	0	0	1	.	ALT:TRIANGLE-SIDE	1	0.1944
76	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRIANGLE_ABC	1	(BASE QUESTION3)	1996-02-01 00:14:25	1996-02-01 00:14:45	1996-02-01 00:14:45	1996-02-01 00:14:45	20	20	.	correct	0	0	1	.	ALT:TRIANGLE-SIDE	2	0.1886
77	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRIANGLE_TRIANGLE	1	(AREA QUESTION1)	1996-02-01 00:15:11	1996-02-01 00:15:11	1996-02-01 00:15:11	1996-02-01 00:15:11	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	2	0.0902
78	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	TRIANGLE_TRIANGLE	2	(AREA QUESTION1)	1996-02-01 00:58:39	1996-02-01 00:58:39	1996-02-01 00:58:39	1996-02-01 00:58:39	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	11	0.0635
79	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PENTAGON	1	(AREA QUESTION1)	1996-02-01 00:15:37	1996-02-01 00:15:37	1996-02-01 00:15:37	1996-02-01 00:15:37	0	0	.	correct	0	0	1	.	ALT:PENTAGON-AREA	1	0.3419
80	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PENTAGON	1	(APOTHEM QUESTION2)	1996-02-01 00:15:37	1996-02-01 00:17:13	1996-02-01 00:17:13	1996-02-01 00:17:13	96	96	.	correct	0	0	1	.	ALT:PENTAGON-SIDE	1	0.2689
81	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	PENTAGON	1	(SIDE QUESTION3)	1996-02-01 00:17:13	1996-02-01 00:17:47	1996-02-01 00:17:47	1996-02-01 00:17:47	34	34	.	correct	0	0	1	.	ALT:PENTAGON-SIDE	2	0.2403
